委托号,合约,买卖,成交编号,开平,成交价格,手数,成交时间,手续费,交易所,投机套保,
76829,ag2212,买入,4113006, 平今仓,4769,1,143620,3.62,F3,投机,
76816,ag2206, 卖出,4112669, 平今仓,4724,1,143617,3.59,F3,投机,
75710,ag2206,买入,4082049,开仓,4718,1,143245,3.58,F3,投机,
72999,ag2212, 卖出,4082042,开仓,4761,1,143245,3.62,F3,投机,
72998,ag2206,买入,4026092, 平今仓,4717,1,142505,3.58,F3,投机,
72988,ag2212, 卖出,4026063, 平今仓,4759,1,142505,3.61,F3,投机,
72977,ag2206, 卖出,4025658,开仓,4715,1,142502,3.58,F3,投机,
72962,ag2212,买入,4025655,开仓,4758,1,142502,3.61,F3,投机,
72931,ag2206, 卖出,4024666, 平今仓,4714,1,142457,3.58,F3,投机,
72858,ag2212,买入,4024665, 平今仓,4758,1,142457,3.61,F3,投机,
72305,ag2206,买入,4000721,开仓,4708,1,142246,3.58,F3,投机,
72160,ag2212, 卖出,4000711,开仓,4751,1,142246,3.61,F3,投机,
71216,ag2206,买入,3962968, 平今仓,4705,1,141827,3.57,F3,投机,
71216,ag2206,买入,3962967, 平今仓,4705,1,141827,3.57,F3,投机,
69642,ag2212, 卖出,3962953, 平今仓,4749,2,141827,7.22,F3,投机,
69641,ag2206, 卖出,3894857,开仓,4703,2,141119,7.14,F3,投机,
69422,ag2212,买入,3894850,开仓,4746,2,141119,7.20,F3,投机,
69421,ag2206,买入,3890388, 平今仓,4705,1,141057,3.57,F3,投机,
69400,ag2212, 卖出,3890386, 平今仓,4748,1,141057,3.61,F3,投机,
68917,ag2206, 卖出,3875768,开仓,4709,1,140936,3.58,F3,投机,
68869,ag2212,买入,3875765,开仓,4751,1,140936,3.61,F3,投机,
68864,ag2206, 卖出,3872904, 平今仓,4710,1,140916,3.58,F3,投机,
68750,ag2212,买入,3872889, 平今仓,4753,1,140916,3.61,F3,投机,
68734,ag2206,买入,3870715,开仓,4712,1,140859,3.58,F3,投机,
68603,ag2212, 卖出,3870713,开仓,4754,1,140859,3.61,F3,投机,
